profession,career_field,position_level,education_level,location_type,age,years_experience,has_remote,is_career_change,is_training_career,in_training,industry_growth_rate,salary
radiologist,healthcare,mid,phd,rural,33,6.3,1,0,1,0,0.0613,497212.48
patent attorney,business,mid,bootcamp,major_city,22,3.9,0,0,0,0,0.0447,227342.91
orthopedic surgeon,healthcare,entry,masters,suburb,26,2.5,0,0,1,1,0.0722,68664.69
ux designer,creative,entry,high_school,rural,19,1.4,1,0,0,0,0.0514,40778.29
actuary,finance,mid,bachelors,small_city,25,4.3,1,0,0,0,0.0318,170641.35
firefighter,service,lead,bachelors,suburb,43,20.5,0,0,0,0,0.0312,137519.49
devops engineer,technology,entry,high_school,rural,18,0.6,0,0,0,0,0.0654,49255.45
civil engineer,engineering,mid,bachelors,suburb,25,2.7,0,0,0,0,0.0332,86059.44
aerospace engineer,engineering,mid,bachelors,rural,26,4.8,1,0,0,0,0.0586,95591.1
recruiter,business,entry,bachelors,international,22,0.2,1,0,0,0,0.0357,45564.5
recruiter,business,mid,bachelors,rural,28,6.1,1,1,0,0,0.028,62027.73
art director,creative,mid,masters,major_city,26,2.8,0,0,0,0,0.0258,161350.4
architect,engineering,entry,bootcamp,small_city,18,0.4,0,0,0,0,0.0462,64087.26
frontend developer,technology,senior,bachelors,rural,30,9.5,1,0,0,0,0.0884,131117.32
marketing manager,business,mid,phd,small_city,30,2.9,0,0,0,0,0.0423,138813.48
nurse practitioner,healthcare,senior,masters,suburb,30,5.8,1,0,0,0,0.0684,189435.68
ux designer,creative,senior,self_taught,major_city,24,6.7,0,0,0,0,0.0364,164730.23
physician assistant,healthcare,mid,bachelors,international,28,5.9,0,0,0,0,0.0641,107251.08
electrical engineer,engineering,entry,bachelors,suburb,22,1.0,0,1,0,0,0.0607,67346.46
electrical engineer,engineering,mid,masters,major_city,26,2.5,0,0,0,0,0.0677,164782.14
security analyst,technology,lead,associates,major_city,32,13.5,0,0,0,0,0.0718,255875.06
real estate agent,business,executive,bachelors,small_city,44,22.3,1,0,0,0,0.0445,662429.24
mobile developer,technology,executive,masters,suburb,61,37.3,0,0,0,0,0.0829,614075.86
physician,healthcare,senior,bachelors,rural,30,8.7,0,0,1,0,0.0478,245554.6
surgeon,healthcare,lead,bachelors,major_city,34,12.3,0,0,1,0,0.0741,715976.17
recruiter,business,executive,associates,rural,48,27.5,1,0,0,0,0.0409,193184.44
real estate broker,business,mid,masters,major_city,29,5.5,1,0,0,0,0.0492,186042.33
pilot,service,entry,bachelors,major_city,25,2.8,0,0,0,0,0.0354,112787.73
paralegal,business,lead,bachelors,small_city,32,10.4,0,1,0,0,0.0409,104428.8
doctor,healthcare,senior,phd,international,41,14.3,0,0,1,0,0.0632,713308.41
full stack developer,technology,senior,masters,international,31,7.3,0,0,0,0,0.1021,193671.32
pharmacist,healthcare,mid,phd,small_city,32,5.3,0,0,0,0,0.0471,201434.24
chef,service,entry,masters,international,24,0.2,0,0,0,0,0.0201,38385.64
physicist,other,entry,associates,international,21,0.9,1,1,0,0,0.0273,50403.2
pilot,service,senior,bachelors,major_city,33,11.8,0,0,0,0,0.03,294739.12
mechanical engineer,engineering,entry,bachelors,major_city,22,0.7,0,0,0,0,0.0424,78452.03
orthopedic surgeon,healthcare,entry,bachelors,international,25,2.8,0,0,1,1,0.0489,60006.65
aerospace engineer,engineering,senior,bachelors,rural,34,12.8,0,0,0,0,0.0647,105903.58
electrician,service,senior,associates,small_city,28,7.7,0,0,0,0,0.0473,69969.38
corporate lawyer,business,mid,masters,small_city,28,3.9,1,0,0,0,0.0458,401423.28
photographer,creative,mid,masters,small_city,29,6.2,0,0,0,0,0.0307,71125.15
veterinarian,healthcare,entry,phd,rural,29,2.1,0,0,0,0,0.0675,138806.78
aerospace engineer,engineering,executive,bootcamp,major_city,36,18.4,0,0,0,0,0.0564,338686.77
police officer,service,entry,high_school,international,19,1.8,0,0,0,0,0.0416,35087.02
lawyer,business,mid,masters,suburb,29,5.8,1,0,0,0,0.0341,263654.27
electrician,service,entry,bachelors,major_city,23,2.0,0,0,0,0,0.0407,62532.4
welder,service,entry,bachelors,rural,22,1.1,0,1,0,0,0.04,27538.69
copywriter,creative,senior,self_taught,small_city,29,10.5,0,0,0,0,0.0301,106208.92
doctor,healthcare,executive,phd,rural,44,18.0,0,1,1,0,0.076,626331.57
electrical engineer,engineering,mid,bachelors,major_city,28,6.1,0,0,0,0,0.0544,147634.21
copywriter,creative,entry,bootcamp,rural,21,3.0,0,0,0,0,0.037,37094.66
teacher,education,lead,bachelors,major_city,31,10.4,1,0,0,0,0.0282,122901.09
full stack developer,technology,entry,associates,rural,19,0.0,0,0,0,0,0.0652,43697.05
devops engineer,technology,lead,masters,major_city,48,23.9,0,0,0,0,0.0793,593456.88
electrical engineer,engineering,lead,masters,rural,37,12.3,1,0,0,0,0.058,244238.0
journalist,creative,entry,high_school,rural,20,1.8,0,0,0,0,0.0393,22951.81
photographer,creative,executive,bootcamp,major_city,45,26.5,0,0,0,0,0.0336,287893.52
electrical engineer,engineering,mid,masters,small_city,30,5.5,0,1,0,0,0.0487,136069.13
physicist,other,entry,bachelors,suburb,22,0.4,0,0,0,0,0.0333,70344.54
real estate broker,business,mid,masters,suburb,26,3.1,1,1,0,0,0.0371,182358.02
physician assistant,healthcare,mid,phd,small_city,32,4.8,0,0,0,0,0.0662,194563.16
engineering manager,technology,mid,bachelors,suburb,26,5.1,1,0,0,0,0.0809,221068.81
executive chef,service,mid,bachelors,suburb,28,6.0,0,0,0,0,0.0361,103114.35
hotel manager,service,entry,bachelors,international,22,0.8,0,0,0,0,0.0117,43951.47
hedge fund manager,finance,lead,bachelors,international,37,15.6,0,1,0,0,0.0104,995377.82
dermatologist,healthcare,senior,phd,international,35,8.1,0,0,1,0,0.061,590364.16
